t 	 u(t) 	 x(t) 	 y(t) 	 x1(t) 	 y1(t)
0.0000,0.0000,0.0746,-0.0504,0.0000,0.0000
0.0200,1.0000,-0.0251,0.0233,0.0001,0.0133
0.0400,1.0000,0.1721,-0.0763,0.0005,0.0265
0.0600,1.0000,0.0949,0.1308,0.0012,0.0396
0.0801,1.0000,-0.0143,-0.0024,0.0021,0.0525
0.1001,1.0000,0.0276,-0.1350,0.0033,0.0653
0.1201,1.0000,-0.2283,0.2342,0.0047,0.0780
0.1401,1.0000,0.0249,0.1264,0.0064,0.0904
0.1601,1.0000,0.2702,0.0742,0.0083,0.1028
0.1801,1.0000,-0.1635,0.2503,0.0105,0.1149
0.2001,1.0000,0.0030,-0.0001,0.0129,0.1268
0.2201,1.0000,-0.1543,-0.0165,0.0156,0.1385
0.2402,1.0000,0.0547,0.0154,0.0185,0.1500
0.2602,1.0000,0.0253,0.1467,0.0216,0.1612
0.2802,1.0000,-0.1160,0.2892,0.0249,0.1722
0.3002,1.0000,-0.2264,0.0543,0.0285,0.1829
0.3202,1.0000,0.0839,0.1526,0.0323,0.1934
0.3402,1.0000,0.0017,0.2067,0.0362,0.2036
0.3602,1.0000,-0.0817,0.1694,0.0404,0.2135
0.3803,1.0000,-0.1621,0.2525,0.0448,0.2231
0.4003,1.0000,-0.1182,0.1577,0.0493,0.2324
0.4203,1.0000,0.0899,0.3599,0.0541,0.2414
0.4403,1.0000,0.1126,0.3232,0.0590,0.2501
0.4603,1.0000,0.0553,0.1279,0.0641,0.2585
0.4803,1.0000,-0.0307,0.3653,0.0693,0.2665
0.5003,1.0000,-0.0040,0.3215,0.0747,0.2742
0.5203,1.0000,0.1420,0.1642,0.0803,0.2815
0.5404,1.0000,0.0372,0.1897,0.0860,0.2885
0.5604,1.0000,0.1290,0.3643,0.0919,0.2952
0.5804,1.0000,0.2827,0.4032,0.0978,0.3015
0.6004,1.0000,0.1968,0.2802,0.1039,0.3074
0.6204,1.0000,-0.0330,0.2789,0.1101,0.3130
0.6404,1.0000,0.0549,0.3090,0.1164,0.3182
0.6604,1.0000,0.1494,0.1470,0.1229,0.3230
0.6805,1.0000,0.0972,0.5119,0.1294,0.3274
0.7005,1.0000,0.3084,0.3708,0.1360,0.3315
0.7205,1.0000,0.1288,0.3891,0.1426,0.3352
0.7405,1.0000,0.2850,0.4835,0.1494,0.3385
0.7605,1.0000,0.3336,0.3963,0.1562,0.3414
0.7805,1.0000,0.1006,0.5221,0.1630,0.3439
0.8005,1.0000,0.1785,0.2775,0.1699,0.3461
0.8205,1.0000,0.3047,0.4401,0.1769,0.3479
0.8406,1.0000,0.1255,0.3369,0.1839,0.3492
0.8606,1.0000,0.1587,0.2029,0.1909,0.3503
0.8806,1.0000,0.1610,0.3263,0.1979,0.3509
0.9006,1.0000,0.2866,0.3298,0.2049,0.3511
0.9206,1.0000,0.1725,0.4551,0.2119,0.3510
0.9406,1.0000,0.1766,0.4418,0.2190,0.3505
0.9606,1.0000,0.4565,0.4522,0.2259,0.3466
0.9807,1.0000,0.2997,0.3556,0.2327,0.3308
1.0007,-1.0000,0.1758,0.3475,0.2391,0.3065
1.0207,-1.0000,0.3964,0.2669,0.2449,0.2773
1.0407,-1.0000,0.2249,0.4014,0.2502,0.2462
1.0607,-1.0000,0.2232,0.1688,0.2549,0.2150
1.0807,-1.0000,0.2918,0.1181,0.2590,0.1851
1.1007,-1.0000,0.3268,0.1253,0.2624,0.1567
1.1207,-1.0000,0.1212,0.0748,0.2652,0.1292
1.1408,-1.0000,0.1846,0.1905,0.2674,0.1014
1.1608,-1.0000,0.2585,0.0660,0.2692,0.0732
1.1808,-1.0000,0.2734,0.0195,0.2704,0.0451
1.2008,-1.0000,0.3504,-0.0294,0.2710,0.0171
1.2208,-1.0000,0.2193,-0.0696,0.2710,-0.0108
1.2408,-1.0000,0.1505,-0.1793,0.2706,-0.0384
1.2608,-1.0000,0.2544,-0.1358,0.2695,-0.0658
1.2809,-1.0000,0.1577,-0.0880,0.2679,-0.0930
1.3009,-1.0000,0.2258,-0.1766,0.2658,-0.1198
1.3209,-1.0000,0.3709,-0.1871,0.2631,-0.1464
1.3409,-1.0000,0.1947,-0.0784,0.2599,-0.1726
1.3609,-1.0000,0.3294,-0.0103,0.2562,-0.1985
1.3809,-1.0000,0.2182,-0.2964,0.2520,-0.2240
1.4009,-1.0000,0.1817,-0.3294,0.2473,-0.2491
1.4209,-1.0000,0.0885,-0.3813,0.2420,-0.2738
1.4410,-1.0000,0.3810,-0.1730,0.2363,-0.2980
1.4610,-1.0000,0.2586,-0.3766,0.2301,-0.3217
1.4810,-1.0000,0.1747,-0.4885,0.2234,-0.3450
1.5010,-1.0000,0.1930,-0.3991,0.2163,-0.3677
1.5210,-1.0000,0.3044,-0.3530,0.2087,-0.3898
1.5410,-1.0000,0.1396,-0.3272,0.2007,-0.4114
1.5610,-1.0000,0.0906,-0.4644,0.1923,-0.4324
1.5811,-1.0000,0.1481,-0.5181,0.1834,-0.4528
1.6011,-1.0000,0.0948,-0.4792,0.1741,-0.4726
1.6211,-1.0000,0.1846,-0.4772,0.1645,-0.4918
1.6411,-1.0000,0.2661,-0.4625,0.1545,-0.5103
1.6611,-1.0000,-0.0062,-0.5786,0.1441,-0.5281
1.6811,-1.0000,0.0592,-0.5582,0.1333,-0.5453
1.7011,-1.0000,0.2166,-0.8094,0.1222,-0.5618
1.7211,-1.0000,0.0714,-0.7005,0.1108,-0.5775
1.7412,-1.0000,0.0985,-0.5066,0.0991,-0.5925
